ep: 100, running mean: -6.076260
ep: 200, running mean: -5.935376
ep: 300, running mean: -5.809127
ep: 400, running mean: -5.501978
ep: 500, running mean: -5.103156
ep: 600, running mean: -4.708003
ep: 700, running mean: -4.106033
ep: 800, running mean: -3.656765
ep: 900, running mean: -3.213889
ep: 1000, running mean: -2.815679
ep: 1100, running mean: -2.200880
ep: 1200, running mean: -1.632773
ep: 1300, running mean: -1.170079
ep: 1400, running mean: -0.847538
ep: 1500, running mean: -0.536660
ep: 1600, running mean: -0.185483
ep: 1700, running mean: 0.232386
ep: 1800, running mean: 0.535822
ep: 1900, running mean: 0.943783
ep: 2000, running mean: 1.198736
ep: 2100, running mean: 1.335535
ep: 2200, running mean: 1.665137
ep: 2300, running mean: 1.830125
ep: 2400, running mean: 1.958392
ep: 2500, running mean: 2.213393
ep: 2600, running mean: 2.462033
ep: 2700, running mean: 2.493640
ep: 2800, running mean: 2.603058
ep: 2900, running mean: 2.560022
ep: 3000, running mean: 2.771564
ep: 3100, running mean: 2.697454
ep: 3200, running mean: 2.664545
ep: 3300, running mean: 2.716839
ep: 3400, running mean: 2.877630
ep: 3500, running mean: 3.023943
ep: 3600, running mean: 2.962966
ep: 3700, running mean: 2.929546
ep: 3800, running mean: 3.035528
ep: 3900, running mean: 3.029318
ep: 4000, running mean: 3.046825
ep: 4100, running mean: 3.033412
ep: 4200, running mean: 3.127949
ep: 4300, running mean: 3.171946
ep: 4400, running mean: 3.270882
ep: 4500, running mean: 3.196789
ep: 4600, running mean: 3.273575
ep: 4700, running mean: 3.288666
ep: 4800, running mean: 3.279570
ep: 4900, running mean: 3.328900
ep: 5000, running mean: 3.430200
ep: 5100, running mean: 3.543306
ep: 5200, running mean: 3.661748
ep: 5300, running mean: 3.597046
ep: 5400, running mean: 3.483009
ep: 5500, running mean: 3.554541
ep: 5600, running mean: 3.616156
ep: 5700, running mean: 3.553290
ep: 5800, running mean: 3.524389
ep: 5900, running mean: 3.548255
ep: 6000, running mean: 3.454238
ep: 6100, running mean: 3.330825
ep: 6200, running mean: 3.490453
ep: 6300, running mean: 3.406213
ep: 6400, running mean: 3.236780
ep: 6500, running mean: 3.367067
ep: 6600, running mean: 3.444541
ep: 6700, running mean: 3.518780
ep: 6800, running mean: 3.375608
ep: 6900, running mean: 3.434583
ep: 7000, running mean: 3.394818
ep: 7100, running mean: 3.414610
ep: 7200, running mean: 3.396757
ep: 7300, running mean: 3.413118
ep: 7400, running mean: 3.469200
ep: 7500, running mean: 3.387321
ep: 7600, running mean: 3.372826
ep: 7700, running mean: 3.373253
ep: 7800, running mean: 3.183527
ep: 7900, running mean: 3.013453
ep: 8000, running mean: 3.031824
ep: 8100, running mean: 3.066771
ep: 8200, running mean: 3.080671
ep: 8300, running mean: 3.204178
ep: 8400, running mean: 3.185710
ep: 8500, running mean: 3.149792
ep: 8600, running mean: 3.191489
ep: 8700, running mean: 3.154487
ep: 8800, running mean: 3.140744
ep: 8900, running mean: 3.244046
ep: 9000, running mean: 3.183889
ep: 9100, running mean: 3.199638
ep: 9200, running mean: 3.335194
ep: 9300, running mean: 3.299958
ep: 9400, running mean: 3.287587
ep: 9500, running mean: 3.199582
ep: 9600, running mean: 3.201908
ep: 9700, running mean: 3.336999
ep: 9800, running mean: 3.401382
ep: 9900, running mean: 3.493553
ep: 10000, running mean: 3.581805
ep: 10100, running mean: 3.623518
ep: 10200, running mean: 3.792503
ep: 10300, running mean: 3.806926
ep: 10400, running mean: 3.860351
ep: 10500, running mean: 3.909063
ep: 10600, running mean: 3.880726
ep: 10700, running mean: 3.854116
