using saved model.
start training - 2017-02-05 18:22:43.968000
ep: 18200, running mean: 0.839335
ep: 18300, running mean: 0.699056
ep: 18400, running mean: 0.632556
ep: 18500, running mean: 0.496910
ep: 18600, running mean: 0.506479
ep: 18700, running mean: 0.651771
ep: 18800, running mean: 0.662929
ep: 18900, running mean: 0.661791
ep: 19000, running mean: 0.636581
ep: 19100, running mean: 0.806222
ep: 19200, running mean: 0.997082
ep: 19300, running mean: 1.050811
ep: 19400, running mean: 1.181320
ep: 19500, running mean: 1.243292
ep: 19600, running mean: 1.220570
ep: 19700, running mean: 1.373350
ep: 19800, running mean: 1.256977
ep: 19900, running mean: 1.309343
ep: 20000, running mean: 1.528767
ep: 20100, running mean: 1.326660
ep: 20200, running mean: 1.282276
ep: 20300, running mean: 1.331263
ep: 20400, running mean: 1.127882
ep: 20500, running mean: 1.384449
ep: 20600, running mean: 1.401043
ep: 20700, running mean: 1.571277
ep: 20800, running mean: 1.687575
ep: 20900, running mean: 1.751870
ep: 21000, running mean: 1.696401
ep: 21100, running mean: 1.569732
ep: 21200, running mean: 1.437312
ep: 21300, running mean: 1.490404
ep: 21400, running mean: 1.751182
ep: 21500, running mean: 1.701045
ep: 21600, running mean: 1.746884
ep: 21700, running mean: 1.864685
ep: 21800, running mean: 2.029341
ep: 21900, running mean: 1.986724
ep: 22000, running mean: 2.062176
ep: 22100, running mean: 1.889778
ep: 22200, running mean: 1.976235
ep: 22300, running mean: 1.823387
ep: 22400, running mean: 1.897406
ep: 22500, running mean: 2.078265
ep: 22600, running mean: 2.050757
ep: 22700, running mean: 2.146082
ep: 22800, running mean: 2.214582
ep: 22900, running mean: 2.303825
ep: 23000, running mean: 2.315392
ep: 23100, running mean: 2.360019
ep: 23200, running mean: 2.287559
ep: 23300, running mean: 2.296182
ep: 23400, running mean: 2.533676
ep: 23500, running mean: 2.658495
ep: 23600, running mean: 2.726802
ep: 23700, running mean: 2.910285
ep: 23800, running mean: 2.976030
ep: 23900, running mean: 3.040900
ep: 24000, running mean: 3.075113
ep: 24100, running mean: 3.087385
ep: 24200, running mean: 3.099122
ep: 24300, running mean: 3.151784
ep: 24400, running mean: 3.194482
ep: 24500, running mean: 3.175538
ep: 24600, running mean: 3.197270
ep: 24700, running mean: 3.315133
ep: 24800, running mean: 3.400179
ep: 24900, running mean: 3.440010
ep: 25000, running mean: 3.586964
ep: 25100, running mean: 3.452378
ep: 25200, running mean: 3.489762
ep: 25300, running mean: 3.460518
ep: 25400, running mean: 3.359085
ep: 25500, running mean: 3.364471
ep: 25600, running mean: 3.385462
ep: 25700, running mean: 3.369796
ep: 25800, running mean: 3.545390
ep: 25900, running mean: 3.506765
ep: 26000, running mean: 3.632701
ep: 26100, running mean: 3.742201
ep: 26200, running mean: 3.864066
ep: 26300, running mean: 3.818869
ep: 26400, running mean: 3.815001
ep: 26500, running mean: 3.905944
ep: 26600, running mean: 3.996427
ep: 26700, running mean: 4.031999
replace opponent model now: ep 26700
running mean: 4.03199910877
ep: 26800, running mean: -2.248486
ep: 26900, running mean: -2.516098
ep: 27000, running mean: -2.734451
ep: 27100, running mean: -3.029039
ep: 27200, running mean: -3.312397
ep: 27300, running mean: -3.320499
ep: 27400, running mean: -3.251182
ep: 27500, running mean: -3.493849
ep: 27600, running mean: -3.600890
ep: 27700, running mean: -3.733785
ep: 27800, running mean: -3.741123
ep: 27900, running mean: -3.689881
ep: 28000, running mean: -3.681676
ep: 28100, running mean: -3.690566
ep: 28200, running mean: -3.705512
ep: 28300, running mean: -3.831079
ep: 28400, running mean: -3.781487
ep: 28500, running mean: -3.607529
ep: 28600, running mean: -3.551023
ep: 28700, running mean: -3.366794
ep: 28800, running mean: -3.403742
ep: 28900, running mean: -3.419219
ep: 29000, running mean: -3.362976
ep: 29100, running mean: -3.367205
ep: 29200, running mean: -3.371336
ep: 29300, running mean: -3.448974
ep: 29400, running mean: -3.467326
ep: 29500, running mean: -3.272387
